Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.05     0.00     1313     0.00     0.00  bool std::__detail::operator!=<std::pair<int const, pxr::gfx::Font>, false>(std::__detail::_Node_iterator_base<std::pair<int const, pxr::gfx::Font>, false> const&, std::__detail::_Node_iterator_base<std::pair<int const, pxr::gfx::Font>, false> const&)
  0.00      0.05     0.00     1313     0.00     0.00  std::tuple_element<0ul, std::pair<int const, pxr::gfx::Font> >::type& std::get<0ul, int const, pxr::gfx::Font>(std::pair<int const, pxr::gfx::Font>&)
  0.00      0.05     0.00     1313     0.00     0.00  std::pair<int const, pxr::gfx::Font>& std::forward<std::pair<int const, pxr::gfx::Font>&>(std::remove_reference<std::pair<int const, pxr::gfx::Font>&>::type&)
  0.00      0.05     0.00     1312     0.00     0.00  pxr::Engine::durationToMinutes(std::chrono::duration<long, std::ratio<1l, 1000000000l> >)
  0.00      0.05     0.00     1312     0.00     0.00  pxr::Engine::Ticker::getMeasuredTickFrequency() const
  0.00      0.05     0.00     1312     0.00     0.00  std::__detail::_Node_iterator<std::pair<int const, pxr::gfx::Font>, false, false>::operator*() const
  0.00      0.05     0.00     1312     0.00     0.00  std::__detail::_Hashtable_base<int, std::pair<int const, pxr::gfx::Font>, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_eq() const
  0.00      0.05     0.00     1312     0.00     0.00  std::__detail::_Hashtable_base<int, std::pair<int const, pxr::gfx::Font>, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_equals(int const&, unsigned long, std::__detail::_Hash_node<std::pair<int const, pxr::gfx::Font>, false>*) const
  0.00      0.05     0.00     1312     0.00     0.00  std::__detail::_Hashtable_base<int, std::pair<int const, pxr::gfx::Font>, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_Equal_hash_code<std::__detail::_Hash_node<std::pair<int const, pxr::gfx::Font>, false> >::_S_equals(unsigned long, std::__detail::_Hash_node<std::pair<int const, pxr::gfx::Font>, false> const&)
  0.00      0.05     0.00     1312     0.00     0.00  std::setprecision(int)
  0.00      0.05     0.00      911     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.05     0.00      884     0.00     0.00  tinyxml2::StrPair::ParseName(char*)
  0.00      0.05     0.00      848     0.00     0.06  pxr::Engine::mainloop()
  0.00      0.05     0.00      848     0.00     0.00  pxr::Engine::GameClock::update(std::chrono::duration<long, std::ratio<1l, 1000000000l> >)
  0.00      0.05     0.00      848     0.00     0.00  pxr::Engine::RealClock::update()
  0.00      0.05     0.00      782     0.00     0.00  tinyxml2::StrPair::ParseText(char*, char const*, int, int*)
  0.00      0.05     0.00      779     0.00     0.00  tinyxml2::XMLElement::CreateAttribute()
  0.00      0.05     0.00      779     0.00     0.00  tinyxml2::XMLElement::DeleteAttribute(tinyxml2::XMLAttribute*)
  0.00      0.05     0.00      779     0.00     0.00  tinyxml2::XMLAttribute::ParseDeep(char*, bool, int*)
  0.00      0.05     0.00      779     0.00     0.00  tinyxml2::XMLAttribute::XMLAttribute()
  0.00      0.05     0.00      779     0.00     0.00  tinyxml2::XMLAttribute::~XMLAttribute()
  0.00      0.05     0.00      779     0.00     0.00  tinyxml2::MemPoolT<80>::SetTracked()
  0.00      0.05     0.00      779     0.00     0.00  tinyxml2::MemPoolT<80>::Free(void*)
  0.00      0.05     0.00      779     0.00     0.00  tinyxml2::MemPoolT<80>::Alloc()
  0.00      0.05     0.00      779     0.00     0.00  tinyxml2::XMLElement::Attribute(char const*, char const*) const
  0.00      0.05     0.00      779     0.00     0.00  tinyxml2::XMLDocument::ProcessEntities() const
  0.00      0.05     0.00      779     0.00     0.00  tinyxml2::MemPoolT<80>::ItemSize() const
  0.00      0.05     0.00      774     0.00     0.00  pxr::gfx::extractIntAttribute(tinyxml2::XMLElement*, char const*, int*, int, char const*, tinyxml2::XMLDocument*, pxr::gfx::AssetID)
  0.00      0.05     0.00      774     0.00     0.00  tinyxml2::XMLUtil::IsPrefixHex(char const*)
  0.00      0.05     0.00      774     0.00     0.00  tinyxml2::XMLUtil::ToInt(char const*, int*)
  0.00      0.05     0.00      774     0.00     0.00  tinyxml2::XMLElement::QueryIntAttribute(char const*, int*) const
  0.00      0.05     0.00      774     0.00     0.00  tinyxml2::XMLAttribute::QueryIntValue(int*) const
